node_id,temperature,humidity,signal_strength,battery_level,packet_loss_rate,response_time,fault_type
20,21.94,60.48,-57.34,53.81,4.7,38.48,Normal
1,30.46,54.02,-40.29,68.84,3.75,37.22,Normal
1,81.5,0.28,-43.74,99.98,9.97,45.16,Data_Anomaly
19,21.16,47.94,-42.44,87.85,0.23,19.63,Normal
18,33.13,64.49,-58.78,13.15,18.07,126.8,Battery_Drain
6,27.47,54.79,-47.84,81.83,2.77,27.01,Normal
10,32.87,40.98,-85.82,98.8,69.7,397.25,Communication_Loss
16,28.71,46.34,-53.09,94.84,2.37,28.9,Normal
19,25.64,63.0,-53.05,51.59,2.74,7.83,Normal
15,23.77,49.22,-42.53,96.04,0.31,26.71,Normal
20,30.07,44.88,-60.31,9.27,17.38,192.51,Battery_Drain
14,26.28,62.28,-87.06,46.29,79.5,309.37,Communication_Loss
12,24.71,45.57,-50.52,67.76,3.24,45.59,Normal
12,-14.43,98.92,-52.88,99.19,6.06,46.47,Data_Anomaly
16,25.6,51.77,-54.3,58.67,4.48,25.39,Normal
2,27.09,61.55,-59.89,98.75,2.45,26.16,Normal
11,24.83,59.36,-54.61,2.81,16.47,185.09,Battery_Drain
14,28.79,41.53,-56.91,74.06,2.66,23.81,Normal
17,-10.69,93.75,-42.99,84.76,4.09,37.6,Data_Anomaly
8,28.82,60.64,-79.01,89.51,57.46,341.42,Communication_Loss
10,30.35,51.26,-51.22,68.85,2.31,33.41,Normal
2,27.08,61.88,-82.52,47.01,87.59,576.62,Communication_Loss
1,30.42,63.18,-54.23,2.28,16.23,149.7,Battery_Drain
1,27.92,55.39,-87.42,67.42,74.16,501.37,Communication_Loss
13,58.5,63.58,-76.12,45.7,85.04,672.85,Node_Failure
14,49.64,90.92,-87.22,12.56,85.12,863.05,Node_Failure
5,27.75,56.79,-91.95,74.58,74.27,454.48,Communication_Loss
1,27.46,75.57,-87.02,43.29,63.41,681.71,Communication_Loss
2,19.2,42.7,-76.63,75.22,51.31,747.65,Communication_Loss
1,22.33,63.31,-47.35,50.65,3.32,10.24,Normal
8,34.77,56.24,-58.66,87.5,1.05,24.08,Normal
14,23.57,56.95,-49.31,74.05,2.49,39.54,Normal
7,24.82,61.89,-42.05,76.33,4.0,22.95,Normal
8,27.95,55.68,-56.43,82.64,1.19,23.96,Normal
14,30.65,63.9,-56.64,3.07,15.86,279.27,Battery_Drain
2,72.71,62.78,-83.28,66.88,87.26,517.11,Node_Failure
9,25.28,50.63,-51.03,11.45,12.8,273.69,Battery_Drain
17,40.81,33.28,-55.17,10.48,18.05,143.6,Battery_Drain
13,30.31,64.19,-43.55,76.48,4.08,18.92,Normal
10,21.49,52.43,-64.67,10.98,15.01,226.62,Battery_Drain
14,31.2,52.62,-57.94,3.68,17.79,157.74,Battery_Drain
3,24.44,53.46,-40.92,56.75,2.42,29.44,Normal
20,27.52,49.54,-48.06,66.71,3.85,24.72,Normal
3,32.5,53.12,-43.85,98.1,3.95,19.73,Normal
16,28.33,59.43,-43.87,82.94,3.46,21.37,Normal
13,26.86,52.3,-83.23,99.96,72.23,483.93,Communication_Loss
19,30.76,54.71,-52.76,12.67,16.38,265.78,Battery_Drain
13,25.74,56.2,-53.2,86.24,0.33,21.17,Normal
13,35.69,57.28,-57.68,3.49,10.49,274.02,Battery_Drain
7,42.91,49.85,-64.57,5.97,11.83,167.27,Battery_Drain
13,22.6,47.33,-54.07,61.68,0.21,9.53,Normal
5,28.8,54.02,-77.42,96.68,68.7,568.05,Communication_Loss
10,4.24,38.03,-89.27,76.8,96.52,900.38,Node_Failure
20,79.76,17.22,-82.08,61.87,93.92,576.95,Node_Failure
15,28.88,53.88,-52.18,63.65,2.38,34.01,Normal
11,26.31,48.68,-87.55,55.59,78.94,497.53,Communication_Loss
8,27.25,63.44,-76.87,74.28,76.48,526.27,Communication_Loss
16,52.98,85.52,-72.65,58.13,96.74,848.74,Node_Failure
7,35.92,54.5,-69.9,12.3,14.57,281.74,Battery_Drain
13,27.64,55.45,-47.36,62.99,3.17,36.96,Normal
2,27.23,63.21,-71.36,12.69,98.74,843.94,Node_Failure
17,30.67,40.63,-57.58,0.69,27.43,294.7,Battery_Drain
11,25.39,51.04,-43.62,62.63,0.01,34.01,Normal
3,23.65,53.97,-79.1,81.62,58.83,249.43,Communication_Loss
17,28.12,57.3,-42.85,98.23,3.8,10.23,Normal
3,28.21,55.67,-62.63,12.97,19.46,293.64,Battery_Drain
15,30.34,68.5,-69.64,11.95,15.88,282.37,Battery_Drain
9,31.31,54.98,-58.72,79.1,1.34,13.55,Normal
8,37.25,68.19,-82.09,78.1,94.44,828.49,Node_Failure
9,32.05,45.12,-57.64,10.54,21.19,101.95,Battery_Drain
13,22.88,46.65,-40.45,60.04,3.47,27.82,Normal
9,-2.19,96.31,-43.7,44.81,8.95,43.83,Data_Anomaly
3,3.97,16.27,-81.23,59.36,91.87,825.15,Node_Failure
14,24.04,50.78,-44.21,82.94,2.49,38.82,Normal
3,27.33,51.85,-55.93,92.02,0.87,13.7,Normal
5,27.6,43.15,-50.25,0.6,27.34,215.74,Battery_Drain
2,47.62,78.61,-76.9,79.41,85.68,679.58,Node_Failure
1,33.7,49.43,-51.82,2.7,14.75,294.28,Battery_Drain
15,47.75,57.85,-76.75,12.14,93.04,656.07,Node_Failure
1,25.67,57.69,-40.6,72.69,1.18,8.24,Normal
11,30.91,44.92,-47.89,67.84,2.67,12.9,Normal
15,69.42,20.27,-87.76,25.23,81.14,765.58,Node_Failure
5,27.59,47.96,-81.24,63.84,69.2,611.58,Communication_Loss
11,33.46,53.97,-57.21,51.5,1.54,17.49,Normal
5,76.87,25.73,-76.77,78.4,87.49,508.76,Node_Failure
17,25.81,63.93,-90.69,79.53,65.75,590.74,Communication_Loss
6,24.62,61.51,-75.13,85.15,53.62,373.21,Communication_Loss
4,29.03,63.41,-54.75,11.97,18.71,263.57,Battery_Drain
15,24.23,66.38,-48.73,69.02,2.74,37.69,Normal
6,5.87,60.68,-76.64,51.46,89.27,689.89,Node_Failure
12,12.18,52.96,-85.08,40.75,87.89,774.71,Node_Failure
11,0.55,64.91,-72.04,23.26,98.54,530.13,Node_Failure
4,23.92,46.83,-53.85,90.15,2.7,32.35,Normal
11,10.14,85.69,-74.0,18.84,85.91,896.7,Node_Failure
12,31.27,55.79,-50.97,9.02,26.38,276.84,Battery_Drain
10,-12.86,1.28,-43.55,65.42,6.68,23.37,Data_Anomaly
18,11.92,23.3,-72.61,40.47,90.71,589.22,Node_Failure
11,25.1,43.61,-48.11,74.84,4.94,28.32,Normal
17,24.71,58.46,-63.26,13.58,25.45,152.98,Battery_Drain
1,18.65,35.57,-88.61,43.93,81.35,900.18,Node_Failure
18,22.55,45.65,-85.86,51.42,52.09,427.09,Communication_Loss
4,97.96,2.53,-51.55,89.31,0.01,23.71,Data_Anomaly
19,27.13,61.28,-43.16,76.05,3.12,26.54,Normal
2,31.04,49.38,-62.38,5.19,14.78,201.94,Battery_Drain
18,29.45,61.56,-85.06,99.53,84.06,325.11,Communication_Loss
14,30.68,59.24,-88.91,44.86,66.12,304.11,Communication_Loss
10,31.0,53.0,-77.76,95.37,69.48,563.75,Communication_Loss
9,66.17,66.7,-87.56,40.87,90.12,616.28,Node_Failure
20,24.05,47.42,-82.18,52.96,74.78,590.12,Communication_Loss
11,31.24,60.0,-54.05,71.52,0.85,35.99,Normal
1,82.76,91.98,-47.52,71.62,4.26,16.33,Data_Anomaly
5,24.76,58.87,-65.03,2.01,18.37,258.07,Battery_Drain
5,29.37,46.77,-49.04,72.72,4.22,24.75,Normal
20,29.16,45.23,-43.79,80.7,4.3,28.96,Normal
16,32.52,60.65,-69.23,13.53,19.23,227.44,Battery_Drain
15,96.37,91.87,-51.13,42.87,0.38,32.99,Data_Anomaly
3,28.65,65.26,-64.07,5.25,25.49,232.27,Battery_Drain
8,29.71,49.14,-47.51,69.1,1.03,27.25,Normal
18,26.14,13.23,-80.51,13.55,89.72,960.15,Node_Failure
10,28.88,59.12,-55.51,68.61,2.16,23.32,Normal
20,26.29,52.87,-77.26,78.75,61.44,689.57,Communication_Loss
8,33.58,67.28,-66.39,0.81,16.4,250.64,Battery_Drain
2,33.69,50.3,-53.64,3.2,20.12,268.14,Battery_Drain
3,75.16,90.76,-44.78,49.6,4.62,27.91,Data_Anomaly
14,86.32,2.89,-59.9,85.66,0.35,35.89,Data_Anomaly
20,24.86,51.38,-88.89,92.6,89.85,420.99,Communication_Loss
3,28.06,47.65,-94.96,50.7,51.16,300.13,Communication_Loss
7,38.97,64.52,-88.7,48.5,91.23,780.33,Node_Failure
19,28.75,55.42,-68.83,5.01,25.7,241.54,Battery_Drain
4,10.02,73.82,-85.28,32.86,81.25,900.68,Node_Failure
1,32.91,46.95,-44.29,55.92,2.05,22.02,Normal
10,31.94,56.07,-54.03,97.03,1.3,10.85,Normal
5,21.06,48.3,-51.25,10.59,22.62,109.97,Battery_Drain
4,23.99,47.59,-79.26,98.49,64.85,457.33,Communication_Loss
4,19.75,62.28,-53.05,94.99,0.11,26.98,Normal
12,27.04,59.52,-50.11,98.98,0.72,35.03,Normal
19,27.0,57.84,-53.01,55.7,0.76,19.12,Normal
2,32.66,54.18,-74.17,46.16,92.26,613.07,Node_Failure
16,30.73,53.19,-42.76,73.01,3.75,23.87,Normal
10,20.35,54.56,-42.56,77.24,3.79,27.86,Normal
8,24.91,61.94,-84.23,69.87,54.22,594.07,Communication_Loss
19,36.44,51.1,-68.12,5.35,25.15,155.29,Battery_Drain
14,22.76,45.13,-46.08,89.66,1.58,25.94,Normal
5,29.69,59.54,-53.74,89.93,4.84,18.13,Normal
13,27.75,57.74,-58.14,51.47,4.11,18.82,Normal
9,26.87,65.36,-80.8,58.86,68.85,692.98,Communication_Loss
3,70.64,52.49,-85.11,13.47,81.74,859.54,Node_Failure
18,35.07,65.1,-57.58,5.29,26.83,194.26,Battery_Drain
16,25.93,49.42,-59.92,84.08,0.84,31.94,Normal
14,23.45,57.96,-55.34,90.37,0.3,26.76,Normal
2,21.83,36.5,-77.71,72.8,65.22,786.08,Communication_Loss
14,26.52,58.09,-42.83,64.61,4.55,30.91,Normal
19,36.9,58.18,-68.07,3.63,10.25,193.75,Battery_Drain
14,22.37,62.41,-42.15,59.27,0.39,38.68,Normal
3,29.1,49.58,-48.53,82.94,1.26,24.49,Normal
3,32.28,60.64,-51.39,65.85,2.17,46.5,Normal
8,26.99,59.87,-79.22,78.38,77.06,279.02,Communication_Loss
12,27.15,59.02,-80.13,70.38,75.36,242.56,Communication_Loss
8,18.72,46.17,-80.99,40.47,92.45,734.87,Node_Failure
6,-19.04,0.79,-50.74,66.31,2.19,24.92,Data_Anomaly
17,25.13,52.25,-49.85,93.71,2.47,18.63,Normal
12,28.44,58.03,-46.58,62.91,3.37,33.42,Normal
20,28.54,49.04,-52.32,72.81,1.85,27.74,Normal
1,25.37,48.1,-55.0,6.19,22.92,229.29,Battery_Drain
19,73.08,61.03,-72.53,59.3,82.41,951.23,Node_Failure
17,27.51,70.52,-51.02,54.22,2.0,23.6,Normal
13,21.93,30.09,-74.22,38.48,95.97,911.21,Node_Failure
4,-9.42,1.52,-59.1,85.71,9.47,23.07,Data_Anomaly
3,25.7,53.89,-51.81,65.56,3.39,11.97,Normal
5,25.08,45.65,-58.01,60.44,4.63,25.78,Normal
15,23.35,54.72,-43.29,68.52,1.87,4.01,Normal
15,27.34,55.16,-49.35,58.42,1.23,28.18,Normal
13,26.9,47.75,-50.67,8.37,16.95,216.09,Battery_Drain
11,72.23,98.96,-44.15,67.69,7.31,30.85,Data_Anomaly
2,27.9,57.02,-42.6,56.53,3.95,39.15,Normal
14,26.48,61.03,-58.13,87.73,2.46,24.33,Normal
11,73.79,36.68,-75.49,72.08,89.12,721.73,Node_Failure
3,38.74,53.6,-52.92,6.59,26.94,278.62,Battery_Drain
16,-1.05,3.2,-47.35,78.67,8.2,1.0,Data_Anomaly
15,79.61,19.63,-70.11,11.74,80.05,522.08,Node_Failure
13,29.46,60.79,-46.83,88.31,4.23,18.86,Normal
6,24.48,54.7,-77.36,48.28,93.96,503.04,Node_Failure
16,33.32,45.19,-55.8,10.0,14.22,272.68,Battery_Drain
7,25.14,42.28,-47.19,98.95,3.02,23.94,Normal
17,29.7,57.78,-50.92,91.07,2.77,28.4,Normal
15,25.8,63.47,-57.14,88.77,1.36,47.08,Normal
2,24.39,62.75,-51.95,55.14,0.95,30.65,Normal
8,65.44,90.63,-52.8,56.22,8.43,32.09,Data_Anomaly
13,21.58,45.52,-76.27,80.51,54.64,225.38,Communication_Loss
10,30.46,50.18,-52.49,2.74,15.57,125.92,Battery_Drain
20,28.85,64.2,-59.04,68.0,4.78,2.34,Normal
12,26.49,56.95,-51.68,85.98,1.86,14.39,Normal
4,-8.07,4.71,-45.23,58.94,6.45,45.48,Data_Anomaly
3,26.23,63.25,-44.36,77.19,0.5,29.14,Normal
2,26.51,33.88,-86.91,71.86,73.81,205.95,Communication_Loss
6,60.76,45.53,-84.65,21.49,82.63,928.56,Node_Failure
9,26.01,50.71,-59.65,64.67,3.87,7.71,Normal
15,23.53,59.25,-78.4,76.37,61.65,324.26,Communication_Loss
13,-10.9,95.64,-44.3,99.48,5.44,31.5,Data_Anomaly
10,23.28,47.86,-40.37,76.36,4.53,28.51,Normal
9,54.93,68.5,-71.39,42.3,84.61,522.28,Node_Failure
14,29.02,53.05,-53.86,6.89,20.93,186.56,Battery_Drain
1,25.42,35.98,-46.82,55.44,3.18,29.79,Normal
12,25.89,41.89,-83.13,44.38,74.89,788.71,Communication_Loss
2,24.27,67.98,-75.94,98.02,65.71,712.53,Communication_Loss
11,24.07,58.97,-48.7,88.58,2.49,29.95,Normal
8,23.82,58.68,-58.09,71.44,0.15,30.71,Normal
9,26.78,60.16,-49.75,74.08,3.18,24.32,Normal
20,23.16,40.04,-78.05,94.13,85.09,784.62,Communication_Loss
2,29.45,46.59,-86.37,83.15,72.53,456.5,Communication_Loss
7,25.7,53.09,-44.39,73.82,2.49,32.37,Normal
19,26.02,55.49,-47.28,68.22,1.48,24.13,Normal
2,37.17,56.08,-64.35,6.38,10.75,125.57,Battery_Drain
10,19.66,50.07,-59.8,71.87,4.41,20.3,Normal
9,-12.06,3.91,-43.66,50.9,3.71,44.6,Data_Anomaly
10,1.72,27.04,-79.65,25.16,92.57,740.93,Node_Failure
5,68.83,91.7,-43.45,81.83,7.14,28.54,Data_Anomaly
7,-13.24,97.86,-55.73,79.91,1.57,33.12,Data_Anomaly
17,31.0,15.85,-74.28,60.08,87.69,512.6,Node_Failure
19,31.12,57.58,-59.19,6.44,16.18,196.45,Battery_Drain
4,31.09,43.09,-53.67,7.52,11.42,162.57,Battery_Drain
8,26.85,55.89,-54.25,65.34,1.76,19.88,Normal
14,26.32,59.77,-62.88,1.26,16.67,235.51,Battery_Drain
7,27.11,58.67,-61.63,11.26,12.03,155.57,Battery_Drain
10,25.86,47.41,-80.24,82.27,66.91,407.91,Communication_Loss
3,24.29,47.03,-46.86,98.43,3.02,24.33,Normal
15,-7.66,1.31,-50.99,80.32,5.84,21.87,Data_Anomaly
4,29.16,57.74,-55.95,79.38,3.51,18.08,Normal
4,26.74,61.06,-45.21,60.73,3.32,36.67,Normal
20,28.36,56.13,-51.32,62.94,2.17,39.0,Normal
8,34.91,63.4,-69.0,13.67,10.59,171.19,Battery_Drain
1,54.04,8.14,-70.97,67.89,96.1,911.49,Node_Failure
10,28.82,41.48,-40.25,64.57,3.85,25.74,Normal
7,28.45,44.16,-52.09,10.0,25.75,190.87,Battery_Drain
8,39.85,48.85,-51.27,0.96,26.49,158.48,Battery_Drain
7,26.65,49.27,-41.46,55.27,3.82,38.99,Normal
5,26.08,61.25,-43.47,72.31,4.03,32.66,Normal
20,27.77,55.74,-55.68,90.47,3.93,13.91,Normal
9,23.99,57.15,-44.11,94.22,1.72,7.75,Normal
9,28.94,47.5,-56.41,84.7,1.15,25.9,Normal
19,27.86,55.68,-47.84,62.27,0.29,12.78,Normal
8,26.73,56.59,-44.92,93.57,3.39,36.92,Normal
1,50.19,53.38,-87.69,50.42,82.34,668.6,Node_Failure
5,24.89,61.09,-44.54,97.57,3.88,33.87,Normal
3,-7.33,3.78,-45.53,72.14,8.36,33.61,Data_Anomaly
14,31.27,65.38,-61.91,7.27,10.27,181.95,Battery_Drain
6,24.92,61.59,-40.64,53.33,3.24,7.02,Normal
15,31.3,50.01,-68.6,10.94,22.17,241.33,Battery_Drain
11,26.53,59.71,-43.37,92.12,1.87,18.9,Normal
16,60.69,80.08,-79.64,15.52,93.42,810.24,Node_Failure
6,28.64,58.13,-44.83,79.86,3.27,26.74,Normal
10,75.94,92.82,-56.29,75.99,8.62,33.99,Data_Anomaly
18,-3.99,2.49,-46.15,55.84,9.39,46.09,Data_Anomaly
14,28.62,43.78,-54.71,83.1,4.07,30.7,Normal
1,37.55,26.51,-81.7,71.63,96.49,815.02,Node_Failure
14,71.19,32.67,-71.98,79.71,96.51,922.44,Node_Failure
16,22.34,74.58,-53.92,65.91,4.81,15.59,Normal
3,27.26,58.67,-53.82,56.63,2.56,10.99,Normal
19,80.04,95.83,-41.44,95.75,3.42,28.31,Data_Anomaly
12,30.29,55.17,-85.78,96.4,70.16,769.52,Communication_Loss
11,27.13,44.48,-81.18,81.83,75.95,365.17,Communication_Loss
15,-19.53,4.76,-58.79,81.12,0.25,28.21,Data_Anomaly
13,25.27,56.79,-89.46,95.28,73.33,555.7,Communication_Loss
8,26.56,57.08,-47.67,62.31,3.45,24.15,Normal
16,30.9,51.45,-77.31,47.51,58.02,329.74,Communication_Loss
15,-18.98,2.12,-43.66,91.15,9.38,27.94,Data_Anomaly
10,22.23,53.96,-49.4,99.27,0.83,18.83,Normal
10,73.72,5.05,-43.82,48.82,3.43,29.69,Data_Anomaly
5,24.82,67.05,-63.93,4.68,10.06,134.85,Battery_Drain
10,29.41,45.39,-80.5,74.46,76.69,666.23,Communication_Loss
7,45.25,76.74,-71.19,6.19,90.46,735.43,Node_Failure
7,-3.99,93.69,-49.72,94.2,8.9,49.56,Data_Anomaly
14,26.68,60.37,-58.95,5.58,23.23,128.24,Battery_Drain
3,28.39,51.92,-54.29,96.36,4.85,16.16,Normal
12,25.26,64.23,-44.08,58.76,3.36,26.55,Normal
7,31.25,58.96,-82.53,76.02,52.14,425.92,Communication_Loss
13,-10.91,4.54,-55.85,54.29,9.08,7.62,Data_Anomaly
18,41.17,70.75,-71.3,33.19,94.16,737.84,Node_Failure
17,28.63,74.8,-41.79,75.49,2.51,26.77,Normal
1,34.66,61.2,-65.69,5.04,19.31,254.68,Battery_Drain
10,78.67,1.51,-46.45,73.95,9.29,23.6,Data_Anomaly
11,27.92,47.35,-54.12,52.07,3.19,15.14,Normal
2,30.54,68.42,-49.87,67.52,4.56,20.52,Normal
14,32.94,49.69,-57.15,65.66,4.25,32.05,Normal
18,24.34,57.28,-75.64,66.8,70.06,348.0,Communication_Loss
8,35.65,56.0,-53.65,11.36,11.11,101.38,Battery_Drain
2,68.99,35.55,-74.85,27.13,85.98,553.53,Node_Failure
20,27.33,68.63,-89.24,69.57,62.0,557.65,Communication_Loss
5,25.83,54.37,-55.64,50.76,2.91,40.17,Normal
8,21.0,58.78,-92.91,74.61,68.56,271.23,Communication_Loss
19,29.91,58.37,-67.93,2.59,21.36,159.27,Battery_Drain
20,28.48,54.95,-55.63,99.47,2.87,21.26,Normal
15,26.26,64.76,-87.98,61.75,82.23,396.91,Communication_Loss
14,30.63,52.94,-58.47,11.43,25.63,155.15,Battery_Drain
2,3.13,47.71,-81.85,17.09,93.13,985.58,Node_Failure
12,27.19,48.09,-41.23,83.09,0.38,30.72,Normal
17,30.55,67.91,-59.37,8.07,15.56,143.39,Battery_Drain
16,21.74,53.78,-56.64,93.97,2.79,20.77,Normal
9,35.43,50.95,-69.0,6.97,17.59,163.32,Battery_Drain
18,25.18,69.47,-45.37,91.22,0.73,26.22,Normal
6,29.95,60.47,-50.32,75.7,1.54,21.21,Normal
3,28.5,61.57,-46.07,66.22,1.17,28.61,Normal
16,30.16,47.92,-44.4,99.88,0.96,42.46,Normal
9,28.25,45.69,-55.55,65.36,2.73,15.71,Normal
14,27.5,62.37,-63.19,12.07,11.05,131.92,Battery_Drain
13,26.28,46.36,-54.4,63.89,0.18,17.84,Normal
16,27.02,54.39,-83.23,63.86,88.95,526.52,Communication_Loss
7,26.95,45.82,-56.11,54.66,2.05,21.25,Normal
16,24.53,43.62,-54.41,66.6,3.31,31.86,Normal
15,34.64,35.99,-66.77,8.58,26.11,252.03,Battery_Drain
4,23.86,52.66,-56.57,91.37,2.92,33.63,Normal
9,23.59,51.4,-55.19,83.62,4.13,13.57,Normal
20,28.26,71.34,-58.36,51.75,4.95,24.56,Normal
3,26.58,62.86,-54.21,73.38,3.1,26.79,Normal
17,34.41,55.03,-59.53,71.48,1.39,29.44,Normal
1,51.67,77.94,-74.17,50.19,90.23,530.5,Node_Failure
3,25.83,63.97,-83.12,76.19,77.3,545.22,Communication_Loss
10,30.13,46.68,-57.49,11.21,14.37,111.99,Battery_Drain
11,27.68,58.07,-61.77,1.9,10.56,224.55,Battery_Drain
2,34.23,55.3,-86.51,27.19,93.28,982.65,Node_Failure
10,44.32,84.25,-87.45,65.02,97.26,575.34,Node_Failure
1,29.44,57.92,-83.38,55.22,80.25,249.0,Communication_Loss
7,28.7,64.51,-48.87,67.14,0.67,15.04,Normal
20,22.38,62.78,-54.02,94.56,0.07,29.67,Normal
2,27.67,42.59,-55.19,54.75,1.57,37.03,Normal
16,80.01,58.61,-73.75,29.52,86.11,701.35,Node_Failure
19,30.86,48.92,-46.67,55.98,2.86,31.25,Normal
20,82.5,0.4,-49.53,56.94,2.98,28.29,Data_Anomaly
16,68.94,0.51,-43.6,42.49,4.98,19.08,Data_Anomaly
8,22.4,46.47,-77.13,44.48,86.31,797.94,Communication_Loss
19,28.96,52.5,-44.67,85.11,1.66,23.76,Normal
14,28.41,43.23,-58.99,11.85,16.36,215.95,Battery_Drain
1,40.2,16.12,-76.84,79.83,89.03,677.36,Node_Failure
19,24.48,72.64,-87.06,67.32,66.6,638.3,Communication_Loss
7,24.03,55.97,-42.64,64.87,0.81,23.38,Normal
7,29.48,62.99,-48.46,67.27,4.02,27.04,Normal
14,69.6,91.0,-52.57,76.86,5.24,26.71,Data_Anomaly
2,27.17,63.0,-44.33,63.85,4.7,28.47,Normal
5,-2.54,98.45,-53.16,92.43,0.13,33.61,Data_Anomaly
12,22.02,56.03,-41.95,69.16,1.08,20.28,Normal
4,28.71,48.01,-59.93,1.02,14.36,287.08,Battery_Drain
16,26.84,56.21,-51.7,50.72,2.39,28.99,Normal
15,49.87,1.54,-87.14,60.67,84.88,799.0,Node_Failure
3,25.89,64.22,-92.09,70.34,52.48,242.69,Communication_Loss
14,32.29,56.27,-82.09,42.74,87.84,705.3,Communication_Loss
17,26.68,60.44,-46.39,58.3,0.3,30.96,Normal
13,25.99,51.52,-46.55,58.49,0.28,34.18,Normal
4,71.38,3.06,-53.69,63.59,2.37,19.95,Data_Anomaly
18,26.92,77.83,-81.26,52.08,92.95,921.88,Node_Failure
13,25.86,43.76,-86.81,98.69,57.24,679.49,Communication_Loss
1,66.99,79.75,-72.67,9.47,93.84,569.99,Node_Failure
16,50.31,76.84,-70.12,5.83,94.6,785.89,Node_Failure
6,28.08,67.0,-80.32,36.38,87.16,796.89,Node_Failure
13,17.66,7.28,-73.45,24.09,89.46,521.66,Node_Failure
8,30.4,74.57,-67.34,3.92,18.38,219.86,Battery_Drain
6,26.08,57.29,-58.17,65.93,0.52,26.65,Normal
3,31.2,54.97,-59.55,93.08,2.89,25.4,Normal
19,25.71,62.09,-64.89,4.91,13.29,136.23,Battery_Drain
13,46.59,42.68,-77.69,11.12,81.76,585.91,Node_Failure
20,30.42,42.07,-52.25,93.17,1.54,16.76,Normal
5,24.51,70.42,-56.42,13.98,29.94,244.03,Battery_Drain
14,26.05,40.55,-41.77,52.01,2.56,16.53,Normal
7,-12.6,97.57,-56.96,59.71,0.54,49.26,Data_Anomaly
11,31.33,65.13,-55.36,70.27,1.35,31.11,Normal
4,25.04,63.55,-79.7,48.59,76.31,584.94,Communication_Loss
18,35.79,50.43,-52.49,4.54,27.17,271.45,Battery_Drain
6,88.99,97.05,-57.6,58.72,8.02,28.71,Data_Anomaly
20,34.89,62.96,-53.94,14.8,21.96,116.39,Battery_Drain
13,67.06,91.92,-56.63,90.19,5.49,44.87,Data_Anomaly
17,37.24,83.19,-73.41,58.2,82.11,919.43,Node_Failure
17,24.48,51.49,-47.76,65.32,1.63,23.37,Normal
15,-17.3,0.19,-41.77,53.29,0.56,35.22,Data_Anomaly
18,29.87,53.27,-49.89,75.39,0.69,26.72,Normal
